Paper Title,Authors,Year Published
Studio-based learning and app inventor for android in an introductory CS course for non-majors,"['K Ahmad', 'P Gestwicki']",2013
Exploring factors that influence computer science introductory course students to persist in the major,"['LJ Barker', 'C McDowell', 'K Kalahar']",2009
Factors that influence retention of women in the computer science major: A systematic literature review,"['K Pantic', 'J Clarke-Midura']",2019
Exploring changes in computer science students' implicit theories of intelligence across the semester,"['AE Flanigan', 'MS Peteranetz', 'DF Shell']",2015
The persistent effect of pre-college computing experience on college CS course grades,"['C Alvarado', 'G Umbelino', 'M Minnes']",2018
Trajectories and Influencing Factors of Student Confidence Across a Semester,"['N Johnson', 'R Moulder', 'K Seppi']",2019
Rethinking CS0 to Improve Performance and Retention,"['N Albarakati', 'L DiPippo', 'V Fay-Wolfe']",2021
Exploring gender diversity in CS at a large public R1 research university,"['M Babes-Vroman', 'I Juniewicz', 'B Lucarelli']",2017
Culturally relevant cs pedagogy-theory & practice,"['M Mejias', 'K Jean-Pierre', 'L Burge']",2018
Computer Science and Computer Information Technology majors together: Analyzing factors impacting students' success in introductory programming,"['M Doyle', 'D Kasturiratna']",2009
A statewide survey on computing education pathways and influences: factors in broadening participation in computing,"['M Guzdial', 'BJ Ericson', 'T McKlin']",2012
Exploring hypotheses about media computation,['M Guzdial'],2013
Quantifying the benefits of prior programming experience in an introductory computer science course,"['C Wilcox', 'A Lionelle']",2018
Measuring Students' Sense of Belonging in Introductory CS Courses,"['SK Moudgalya', 'C Mayfield', 'A Yadav', 'HH Hu']",2021
Revisiting why students drop CS1,"['A Petersen', 'M Craig', 'J Campbell']",2016
Contributing to success in an introductory computer science course: a study of twelve factors,"['BC Wilson', 'S Shrock']",2001
"Why are women underrepresented in Computer Science? Gender differences in stereotypes, self-efficacy, values, and interests and predictors of future CS course-taking and grades",['S Beyer'],2014
Programming: factors that influence success,"['S Bergin', 'R Reilly']",2005
Alumni as a resource to increase student retention in early computer science courses,['L Ott'],2015
"New CS1 pedagogies and curriculum, the same success factors?","['C Alvarado', 'CB Lee', 'G Gillespie']",2014
